T,wCO2,rho_s,rho_fl,mu_fl,wC_s,wC_fl,wMg_s,wSi_s,wH_s,Dolomite,Antigorite,Talc,Magnesite,Chlorite,Orthopyroxene,Olivine,"q,tc-ds633","cor,tc-ds633","mt,tc-ds633","hem,tc-ds633"
573.15,40,3053.7822825606,1287.12269297762,-378187.784936242,0.0829443506042447,3.43277178571239e-05,0.160275818744232,0.14239136832651,0.000534094915320325,0.0264469078784328,0,0,0.564944515598735,0.0407132351470265,0,0,0.327369889800846,0.00433164840674812,0,0.0361938031682121
573.15,41,3064.90532859354,1287.12269475584,-378187.400785464,0.0846318049026743,3.4330498492418e-05,0.159546823252238,0.141743718129355,0.000194088299325343,0.0264222891362923,0,0,0.57910460253369,0.0148488242551994,0,0,0.332943546603571,0.0105203254217644,0,0.0361604120494832
573.15,42,3071.29186984656,1287.84795059674,-361380.824558629,0.0855950126831828,0.00118930116820253,0.159130731039646,0.141374055756296,0,0.0264081700695036,0,0,0.587233574546154,0,0,0,0.336143176971917,0.0140738181023996,0,0.0361412603100261
573.15,43,3071.29186984656,1287.84795059674,-361380.824558629,0.0855950126831828,0.00118930116820253,0.159130731039646,0.141374055756296,0,0.0264081700695036,0,0,0.587233574546154,0,0,0,0.336143176971917,0.0140738181023996,0,0.0361412603100261
573.15,44,3071.29186976831,1291.23701978809,-353687.504075789,0.0855950126831824,0.00649461777486743,0.159130731039646,0.141374055756296,0,0.0264081700698026,0,0,0.587233574555697,0,0,0,0.336143176963353,0.014073818102041,0,0.0361412603091071
573.15,45,3071.29186976831,1291.23701978809,-353687.504075789,0.0855950126831824,0.00649461777486743,0.159130731039646,0.141374055756296,0,0.0264081700698026,0,0,0.587233574555697,0,0,0,0.336143176963353,0.014073818102041,0,0.0361412603091071
573.15,46,3071.29186943466,1294.58738590812,-351302.970216954,0.0855950126831828,0.0115967388717309,0.159130731039646,0.141374055756296,0,0.0264081707637655,0,0,0.587233573903709,0,0,0,0.336143176926835,0.0140738181005121,0,0.0361412603051786
573.15,47,3071.29186943466,1294.58738590812,-351302.970216954,0.0855950126831828,0.0115967388717309,0.159130731039646,0.141374055756296,0,0.0264081707637655,0,0,0.587233573903709,0,0,0,0.336143176926835,0.0140738181005121,0,0.0361412603051786
573.15,48,3071.29186984059,1297.89848121716,-349981.487010627,0.0855950126831828,0.0165071187964564,0.159130731039646,0.141374055756296,0,0.026408170071396,0,0,0.587233574545012,0,0,0,0.336143176971264,0.0140738181023722,0,0.0361412603099558
573.15,49,3071.29186984059,1297.89848121716,-349981.487010627,0.0855950126831828,0.0165071187964564,0.159130731039646,0.141374055756296,0,0.026408170071396,0,0,0.587233574545012,0,0,0,0.336143176971264,0.0140738181023722,0,0.0361412603099558
573.15,50,3071.29186922611,1301.16989378203,-349125.82994098,0.0855950126831827,0.0212363668418249,0.159130731039646,0.141374055756296,0,0.0264081712955297,0,0,0.587233573398178,0,0,0,0.336143176904011,0.0140738180995565,0,0.0361412603027256
573.15,51,3071.29186922611,1301.16989378203,-349125.82994098,0.0855950126831827,0.0212363668418249,0.159130731039646,0.141374055756296,0,0.0264081712955297,0,0,0.587233573398178,0,0,0,0.336143176904011,0.0140738180995565,0,0.0361412603027256
573.15,52,3071.29186990639,1304.40134690083,-348528.837129961,0.0855950126831824,0.0257943237735461,0.159130731039646,0.141374055756296,0,0.0264081698299658,0,0,0.587233574778164,0,0,0,0.336143176978465,0.0140738181026738,0,0.0361412603107318
573.15,53,3071.29186990639,1304.40134690083,-348528.837129961,0.0855950126831824,0.0257943237735461,0.159130731039646,0.141374055756296,0,0.0264081698299658,0,0,0.587233574778164,0,0,0,0.336143176978465,0.0140738181026738,0,0.0361412603107318
573.15,54,3071.29186970588,1307.59268186333,-348094.151398781,0.0855950126831827,0.0301901301816422,0.159130731039646,0.141374055756296,0,0.0264081702121309,0,0,0.587233574421223,0,0,0,0.33614317695652,0.014073818101755,0,0.0361412603083709
573.15,55,3071.29186970588,1307.59268186333,-348094.151398781,0.0855950126831827,0.0301901301816422,0.159130731039646,0.141374055756296,0,0.0264081702121309,0,0,0.587233574421223,0,0,0,0.33614317695652,0.014073818101755,0,0.0361412603083709
